lambda,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce,step,seed
0.0,1.64,0.6767558037026153,1.4262856992857618,1.0095399326086043,0.0,0.0,,,1400.0,42
0.0,1.88,0.6717602115780194,1.4299919443939,0.9823313422501088,0.0,0.0,,,1600.0,42
0.0,2.11,0.6732295033793712,1.4802873606607208,0.8299236012250185,0.0,0.0,,,1800.0,42
0.0,2.35,0.6770496620628856,1.4703039984089328,0.6080247259885073,0.0,0.0,,,2000.0,42
0.0,2.58,0.675580370261534,1.4949924631869131,0.6252595225721598,0.0,0.0,,,2200.0,42
0.0,2.82,0.6732295033793712,1.4790517973362998,0.6511916733533144,0.0,0.0,,,2400.0,42
0.0,3.05,0.6661769027328828,1.5259279697879495,0.6376821229606867,0.0,0.0,,,2600.0,42
0.0,3.29,0.6720540699382898,1.5492296523025657,0.3934521596506238,0.0,0.0,,,2800.0,42
0.0,3.52,0.6758742286218042,1.5762563506768026,0.4040979402139782,0.0,0.0,,,3000.0,42
0.0,3.76,0.6691154863355863,1.581173391746154,0.4098581215366721,0.0,0.0,,,3200.0,42
0.0,final,0.6770496620628856,,,,,0.6785189538642374,1.4563119599933383,2000.0,42
zero-shot,0,,,,,,0.4972083455774316,2.6184371031279987,,123
4.0,0.23,0.6291507493388186,1.5947951956983528,1.8692395573854448,0.1449987981840968,0.2368,,,200.0,123
4.0,0.47,0.6485454011166618,1.4966649918951358,1.5860447964072228,0.1266612475179135,0.2421,,,400.0,123
4.0,0.7,0.6576550102850426,1.4470637342070187,1.5519293609261513,0.1253068351000547,0.2441,,,600.0,123
4.0,0.94,0.6573611519247723,1.41596354809082,1.5730966639518738,0.1276552110165357,0.2451,,,800.0,123
4.0,1.17,0.6691154863355863,1.4152652685550462,1.140134593397379,0.0952978636883199,0.2506,,,1000.0,123
4.0,1.41,0.6605935938877461,1.4159105779702197,1.0558993785083295,0.0854637178312987,0.2446,,,1200.0,123
4.0,1.64,0.6685277696150456,1.4209876334250342,1.03444360896945,0.0858156314492225,0.2492,,,1400.0,123
4.0,1.88,0.6711724948574787,1.4018013104774516,1.051202529221773,0.0884017071966081,0.2517,,,1600.0,123
4.0,2.11,0.6676461945342345,1.4406756331140842,0.9142638404667376,0.075503764860332,0.2483,,,1800.0,123
