anchor_token,spearman_r,p_value,n_pairs
 Amazon,-0.18162119130662563,0.0016723497395323076,297
ization,-0.18154509654502043,8.492841461498932e-06,594
 title,-0.18094359850746486,1.6320263217426297e-06,693
 Company,-0.18078971501221605,0.0017578904655012433,297
 radio,-0.18073235507391752,0.0017639366264110283,297
 shoes,-0.18070262707892584,9.364105250336892e-06,594
 important,-0.1803585267284691,1.703198876135704e-14,1782
 make,-0.18016831846460327,3.0376877040652768e-30,3960
 7,-0.1799393709934935,2.2306291717868565e-09,1089
 On,-0.1796796189832611,0.0018783350902069687,297
 weaknesses,-0.17967101948015948,0.0018792968755731016,297
 who,-0.17953300227448402,4.992056543309997e-76,10395
 k,-0.17933014594421418,6.0122728538852426e-05,495
 final,-0.17883012607723192,6.308680149854962e-05,495
 raise,-0.1787780301648988,0.0003499117967685714,396
 player,-0.17876680170948736,4.108886267771375e-07,792
?,-0.1786559505163666,4.596532446910003e-99,13761
ators,-0.17848985603802286,6.518217456353908e-05,495
6,-0.17814336895950683,6.738319695902717e-05,495
 writers,-0.17740651791129747,0.002148810100921037,297
 at,-0.17665626470588844,2.2156530165639884e-104,14850
 K,-0.17662987699149493,4.7050344370458535e-27,3663
 Mrs,-0.17609482005174631,0.000430383505178083,396
pt,-0.17604466636484,0.0023274179848597953,297
 means,-0.1759689217679713,0.0004345523596592503,396
 message,-0.17590972626270804,0.0023458325313407405,297
 park,-0.1754895396302138,1.6967118185733937e-05,594
 continue,-0.17543592498457194,0.00045262087567508934,396
op,-0.17522948460553298,0.0024406985040485774,297
 Le,-0.17517759866240543,8.930955426151843e-05,495
 receive,-0.17503339924113026,3.5651249106673683e-06,693
 questions,-0.1750058076284564,6.1187552975475425e-09,1089
 stars,-0.17496052321389652,0.002479161585748751,297
 disease,-0.17471736796399417,1.850189557277392e-05,594
 thousand,-0.1743447521055849,0.0004918103664469284,396
 lot,-0.1742475942748067,1.0957323399749128e-23,3267
 these,-0.17409539936991383,6.779946133006342e-11,1386
 ISIS,-0.17403497288260023,0.002615774648253718,297
 level,-0.17379326296928432,3.4614769374838594e-10,1287
 species,-0.17307596730437222,0.002764516657125942,297
 established,-0.1730545967125165,0.00010895940393662959,495
 major,-0.17294055043312176,2.254974599178596e-05,594
 experiences,-0.172936221698759,0.00011016678480205287,495
 won,-0.17285559370195094,2.2762958072890567e-05,594
 in,-0.17246940318747617,0.0,66825
 natural,-0.1724116993327712,5.00085714809859e-06,693
 effective,-0.17222134617158769,0.002903501920668709,297
 parents,-0.17218852632785311,1.0902134878380373e-06,792
're,-0.17200854380178868,5.859457137427422e-14,1881
GB,-0.17200464959800837,0.00012011720221965297,495
 b,-0.17179852255538566,5.408839013223582e-06,693
 know,-0.17177644190168156,7.549632563049567e-31,4455
 sure,-0.1716351857627884,2.998319029181097e-13,1782
 worked,-0.17148818433629476,2.6469331191855577e-05,594
 between,-0.1713964826180413,1.2573895440412933e-08,1089
 apartment,-0.17121665733638303,0.00012918742592837144,495
“,-0.1710262729726582,3.64295925409889e-13,1782
 those,-0.17092136824101356,6.267873814750076e-08,990
 help,-0.17090014798808745,7.861214813800226e-32,4653
bed,-0.1696654953754215,0.0033578483724138273,297
ric,-0.16960934869448333,0.0007012225631313784,396
).,-0.16943877114673886,2.300610580749557e-24,3564
ESS,-0.16897172673695954,0.0034918263109818336,297
 no,-0.16890156026168993,4.915699834659313e-16,2277
 supported,-0.16880346652127218,0.003525040903029845,297
 photos,-0.16872596931534645,0.003540434844754168,297
 has,-0.1685852512172668,2.1121363469943053e-86,13464
 Im,-0.16838803388213153,0.0007672672405789998,396
 w,-0.16823734206405494,0.0036389045018557485,297
 I,-0.16813554546541967,1.677616872495929e-291,46431
 site,-0.1679124766300308,7.442458621579679e-11,1485
_,-0.16749146379192864,3.963579671344375e-20,2970
 sizes,-0.16719637964982706,0.0038569910252824655,297
res,-0.1669201085936954,0.003916821318611504,297
 understand,-0.16691403804341087,4.347470305438772e-05,594
 South,-0.16687386400334392,0.00392691775981601,297
 visit,-0.1665057162323805,1.0523588312402237e-05,693
ra,-0.1664225604016661,0.00019979509311486796,495
 still,-0.16637584803960867,5.910107185883409e-07,891
 8,-0.1660863847033738,6.185934529888494e-07,891
atch,-0.1660637396371507,0.004107646187874169,297
 ease,-0.16604751553612426,0.00411134105808535,297
 increase,-0.16589603632940014,1.5241400155437235e-07,990
 trauma,-0.16562476524660047,0.00420868199078864,297
ll,-0.16559665820170053,5.5641350775402e-10,1386
 roast,-0.16550584998006318,0.0009465797974763644,396
 give,-0.16526842658898777,0.0009629546648312601,396
 square,-0.16522512329474137,0.00022237552523041583,495
 l,-0.16517189888099013,0.004315260454317004,297
2013,-0.16513018319377895,0.00022426442637111718,495
 land,-0.16496817504034697,0.004363994361689461,297
 stories,-0.16494686232881067,0.000985549489973864,396
 enjoy,-0.16493030346324258,0.004373108353110173,297
 remember,-0.16474725120378558,0.004417403292382047,297
".""",-0.1646632746338435,1.6642310212665674e-16,2475
 only,-0.1645713425300802,7.009179389253819e-19,2871
 due,-0.16449809550084774,0.004478343960582584,297
 feel,-0.16423002295336256,8.272548831751571e-07,891
19,-0.16420729546152682,3.3929905166681564e-06,792
 use,-0.16397509223273704,3.996915986318675e-34,5445
 United,-0.16384440892458707,3.376362343683151e-09,1287
 cat,-0.16379535740104736,0.001070531594947539,396
 if,-0.16367873541727343,9.87557258474281e-16,2376
illed,-0.1633890293673819,0.004758906059814493,297
ost,-0.16315627090679424,6.472526318565677e-05,594
 find,-0.16298662787879914,9.886535987621323e-27,4257
 World,-0.16276050450600069,4.1448171435769935e-06,792
 nun,-0.1626721509814573,0.004948578350232598,297
ification,-0.16249730460044726,0.004995859190895886,297
 per,-0.1623216403243737,1.8415495626962692e-08,1188
 matches,-0.1623139580059217,0.00028762074388379445,495
 challenges,-0.16173020368753416,0.0003026916338371125,495
 Hall,-0.1616831404934659,0.005221415843865155,297
IL,-0.16154790377885597,0.0012561501345408593,396
